Journal Name,Publisher,APC,Review Time,Scopus Status,Source URL
Eurosurveillance,European Centre for Disease Prevention and Control,No APC (DOAJ),Not Available,Indexed (Source File),http://www.eurosurveillance.org/
"GMS German Plastic, Reconstructive and Aesthetic Surgery – Burn and Hand Surgery",German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Indexed,https://www.egms.de/en/journals/gpras/
Cardiology Plus,Wolters Kluwer Health/LWW,Free (MU Directory),Not Available,Not Indexed,https://journals.lww.com/cardioplus/pages/default.aspx
Southwest Respiratory and Critical Care Chronicles,Southwest Respiratory and Critical Care Chronicles,Free (MU Directory),Not Available,Not Indexed,https://pulmonarychronicles.com/index.php/pulmonarychronicles/index
African Journal of Thoracic and Critical Care Medicine,Health and Medical Publishing Group,  (DOAJ),Not Available,Indexed (Source File),http://www.ajtccm.org.za/
Health Data Science,American Association for the Advancement of Science (AAAS),Free (MU Directory),Not Available,Not Indexed,https://spj.sciencemag.org/journals/hds/
Rural and Remote Health,James Cook University,No APC (DOAJ),Not Available,Indexed (Source File),https://www.rrh.org.au/
Free Neuropathology,University of Münster / Open Journals System,No APC (DOAJ),Not Available,Not Indexed,https://www.uni-muenster.de/Ejournals/index.php/fnp/index
Journal of Radiology Case Reports,EduRad Publishing,  (DOAJ),Not Available,Indexed (Website),http://www.radiologycases.com/
Journal of Renal and Hepatic Disorders,Codon Publications,No APC (DOAJ),Not Available,Not Indexed,https://jrenhep.com/index.php/jrenhep
Urogynaecologia International Journal,PAGEPress Publications,No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.urogynaecologia.org/
Angle Orthodontist,E.H Angle Education and Research Foundation,No APC (DOAJ),Not Available,Indexed (Source File),https://meridian.allenpress.com/angle-orthodontist
International Journal of Cancer Therapy and Oncology,IJCTO,Not Available,Not Available,Not Indexed,http://www.ijcto.org/index.php/IJCTO/index
Journal of Clinical & Developmental Psychology,CeRIP,  (DOAJ),Not Available,Not Indexed,http://cab.unime.it/journals/index.php/JCDP/index
GMS German Medical Science,German Medical Science GMS Publishing House,  (DOAJ),Not Available,Indexed (Source File),https://www.egms.de/dynamic/en/journals/gms/index.htm
Efficacy and Mechanism Evaluation,NIHR Journals Library,Free (MU Directory),Not Available,Not Indexed,https://www.journalslibrary.nihr.ac.uk/eme/
Neuroanatomy and Behaviour,Episteme Health Inc.,Not Available,Not Available,Not Indexed,https://epistemehealth.com/index.php/nab
Therapeutic Advances in Vaccines and Immunotherapy,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/tav
European Medical Journal Hematology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,http://emjreviews.com/therapeutic-area/hematology/
Geriatric Care,PAGEPress Publications,  (DOAJ),Not Available,Not Indexed,http://www.geriatric-care.org/
International Journal of Telerehabilitation,"University Library System, University of Pittsburgh",Free (MU Directory),Not Available,Indexed (Source File),http://telerehab.pitt.edu/
Nursing & Health Sciences Research Journal,Library & Knowledge Services and Nursing & Health Sciences Research Departments,Free (MU Directory),Not Available,Not Indexed,https://scholarlycommons.baptisthealth.net/nhsrj/
Journal of the Medical Library Association,"University Library System, University of Pittsburgh",Free (MU Directory),Not Available,Not Indexed,http://jmla.mlanet.org/ojs/jmla
Military Medical Research,BMC,No APC (DOAJ),Not Available,Indexed (Website),https://mmrjournal.biomedcentral.com/
Reviews in Health Care,SEEd,Not Available,Not Available,Not Indexed,https://journals.seedmedicalpublishers.com/index.php/RHC
The Egyptian Journal of Otolaryngology,SpringerOpen,No APC (DOAJ),Not Available,Indexed (Website),https://ejo.springeropen.com/
Southwest Respiratory and Critical Care Chronicles,Southwest Respiratory and Critical Care Chronicles,Free (MU Directory),Not Available,Not Indexed,https://pulmonarychronicles.com/index.php/pulmonarychronicles/index
Psychiatria Fennica,The Finnish Foundation for Psychiatric Research,No APC (DOAJ),Not Available,Not Indexed,https://www.psykiatriantutkimussaatio.fi/index.php/psychiatria-fennica/
Journal of Biomedical Science,BMC,Free (MU Directory),Not Available,Indexed (Website),https://jbiomedsci.biomedcentral.com/
Pleura and Peritoneum,De Gruyter,  (DOAJ),Not Available,Likely Indexed (Website),https://www.degruyter.com/view/journals/pp/pp-overview.xml
Tidsskrift for Den norske legeforening,Den norske legeforening,No APC (DOAJ),Not Available,Not Indexed,https://tidsskriftet.no/
African Journal of Nephrology,African Association of Nephrology,Free (MU Directory),Not Available,Not Indexed,http://www.journals.ac.za/index.php/ajn/
Molecular Biology & Nanomedicine,Techland Publishing Group Limited,No APC (DOAJ),Not Available,Not Indexed,http://mbn.techlandgroup.com/index.php
"GMS German Plastic, Reconstructive and Aesthetic Surgery – Burn and Hand Surgery",German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Indexed,https://www.egms.de/en/journals/gpras/
Health Reform Observer - Observatoire des Réformes de Santé,McMaster University Library Press,No APC (DOAJ),Not Available,Not Indexed,https://mulpress.mcmaster.ca/hro-ors/index
Social Medicine,Social Medicine Publication Group,  (DOAJ),Not Available,Indexed (Source File),http://www.socialmedicine.info/
International Health Trends and Perspectives,Ryerson University,No APC (DOAJ),Not Available,Not Indexed,https://journals.library.ryerson.ca/index.php/ihtp/index
African Journal of Nephrology,African Association of Nephrology,Free (MU Directory),Not Available,Not Indexed,http://www.journals.ac.za/index.php/ajn/
British and Irish Orthoptic Journal,White Rose University Press,Free (MU Directory),Not Available,Indexed (Source File),https://www.bioj-online.com/
Dentistry 3000,"University Library System, University of Pittsburgh",Free (MU Directory),Not Available,Indexed (Source File),http://dentistry3000.pitt.edu/
Neurological Research and Practice,BMC,Free (MU Directory),Not Available,Indexed (Website),https://neurolrespract.biomedcentral.com/
GMS German Medical Science,German Medical Science GMS Publishing House,  (DOAJ),Not Available,Indexed (Source File),https://www.egms.de/dynamic/en/journals/gms/index.htm
Hong Kong Medical Journal,Hong Kong Academy of Medicine,  (DOAJ),Not Available,Indexed (Website),http://www.hkmj.org/
Laboratory Animal Research,BMC,Free (MU Directory),Not Available,Indexed (Website),https://labanimres.biomedcentral.com/
South African Journal of Sports Medicine,South African Sports Medicine Association,  (DOAJ),Not Available,Indexed (Source File),http://journals.assaf.org.za/index.php/sajsm/index
EMJ Radiology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,https://www.emjreviews.com/therapeutic-area/radiology/
Clinical Phytoscience,SpringerOpen,No APC (DOAJ),Not Available,Not Indexed,http://www.clinphytoscience.com/
Community Eye Health Journal,"International Centre for Eye Health (ICEH), London",Free (MU Directory),Not Available,Not Indexed,http://www.cehjournal.org/
Medicine Anthropology Theory,University of Edinburgh Library,Free (MU Directory),Not Available,Not Indexed,http://www.medanthrotheory.org/
Cardiology Discovery,Wolters Kluwer Health/LWW,No APC (DOAJ),Not Available,Not Indexed,https://journals.lww.com/CD/pages/default.aspx
Société Internationale d’Urologie Journal,The Société Internationale d’Urologie (SIU),No APC (DOAJ),Not Available,Not Indexed,https://siuj.org/index.php/siuj
ACG Case Reports Journal,Wolters Kluwer Health,  (DOAJ),Not Available,Indexed (Source File),https://journals.lww.com/acgcr/pages/default.aspx
European Medical Journal,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,https://www.emjreviews.com/therapeutic-area/european-medical-journal/
BIO Integration,Compuscript Ltd,No APC (DOAJ),Not Available,Indexed (Website),https://bio-integration.org/
Japanese Dental Science Review,Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/japanese-dental-science-review
Indian Heart Journal,Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/indian-heart-journal/
Asian Journal of Urology,Elsevier,  (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/asian-journal-of-urology
"The Egyptian Journal of Neurology, Psychiatry and Neurosurgery",SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://ejnpn.springeropen.com/
Revista Brasileira de Hematologia e Hemoterapia,Elsevier,No APC (DOAJ),Not Available,Not Indexed,https://www.journals.elsevier.com/revista-brasileira-de-hematologia-e-hemoterapia/
International Journal of Medical Students,International Journal of Medical Students,Free (MU Directory),Not Available,Not Indexed,http://www.ijms.info/
Acta Pharmaceutica Sinica B,Elsevier,  (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/acta-pharmaceutica-sinica-b
Chinese Medicine and Culture,Wolters Kluwer Health/LWW,Free (MU Directory),Not Available,Indexed (Source File),https://journals.lww.com/cmc/Pages/default.aspx
Emerging Infectious Diseases,Centers for Disease Control and Prevention,Free (MU Directory),Not Available,Indexed (Source File),http://wwwnc.cdc.gov/eid/
Deutsches Ärzteblatt,Deutscher Ärzte-Verlag,No APC (DOAJ),Not Available,Not Indexed,http://www.aerzteblatt.de/archiv/daetitel
Skin,National Society for Cutaneous Medicine,  (DOAJ),Not Available,Not Indexed,https://jofskin.org/index.php/skin
Global Biosecurity,University of New South Wales,No APC (DOAJ),Not Available,Indexed (Website),https://jglobalbiosecurity.com/
European Medical Journal Innovations,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,https://www.emjreviews.com/therapeutic-area/innovations/
Plasmatology,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/bdx
Rwanda Medical Journal,Rwanda Biomedical Centre (RBC)/Rwanda Health Communication Center,No APC (DOAJ),Not Available,Likely Indexed (Website),http://rwandamedicaljournal.org/
Inspira,Cappelen Damm Akademisk NOASP,No APC (DOAJ),Not Available,Not Indexed,https://inspiratidsskrift.no/
Journal of Appalachian Health,University of Kentucky,No APC (DOAJ),Not Available,Not Indexed,https://uknowledge.uky.edu/jah/
Animal Models and Experimental Medicine,Wiley,Free (MU Directory),Not Available,Not Indexed,https://onlinelibrary.wiley.com/journal/25762095
Global Health: Science and Practice Journal,Johns Hopkins University,  (DOAJ),Not Available,Not Indexed,http://www.ghspjournal.org/
Perspectives on Medical Education,Springer / Bohn Stafleu van Loghum,  (DOAJ),Not Available,Indexed (Source File),https://www.springer.com/journal/40037
Biomedical Journal,Elsevier,  (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/biomedical-journal
Online Journal of Rural Nursing and Health Care,Rural Nurse Organization; Binghamton University,No APC (DOAJ),Not Available,Not Indexed,http://rnojournal.binghamton.edu/index.php/RNO
Gut Microbiome,Cambridge University Press,No APC (DOAJ),Not Available,Not Indexed,https://www.cambridge.org/core/journals/gut-microbiome
International Journal of Arrhythmia,BMC,Not Available,Not Available,Not Indexed,https://arrhythmia.biomedcentral.com/
Precision Radiation Oncology,Wiley,Free (MU Directory),Not Available,Indexed (Source File),https://onlinelibrary.wiley.com/journal/23987324
International Journal of Strength and Conditioning,International Universities Strength and Conditioning Association,No APC (DOAJ),Not Available,Not Indexed,https://journal.iusca.org/index.php/Journal
Middle East Fertility Society Journal,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://mefj.springeropen.com/
Therapeutic Advances in Rare Disease,SAGE Publishing,No APC (DOAJ),Not Available,Not Indexed,https://journals.sagepub.com/home/trd
Qualitative Research in Medicine & Healthcare,PAGEPress Publications,No APC (DOAJ),Not Available,Not Indexed,https://www.pagepressjournals.org/index.php/qrmh/index
Giornale Italiano di Endodonzia,Ariesdue,No APC (DOAJ),Not Available,Indexed (Website),http://www.giornaleitalianoendodonzia.it/
AIMS Medical Science,American Institute of Mathematical Sciences,Free (MU Directory),Not Available,Not Indexed,http://www.aimspress.com/journal/medicalScience
International Journal of Particle Therapy,Particle Therapy Co-operative Group,  (DOAJ),Not Available,Indexed (Source File),http://theijpt.org/
Journal of Sports Medicine and Allied Health Sciences: Official Journal of the Ohio Athletic Trainers' Association,Bowling Green State University,Free (MU Directory),Not Available,Not Indexed,http://scholarworks.bgsu.edu/jsmahs/
Swiss Archives of Neurology and Psychiatry,EMH Swiss Medical Publishers Ltd.,Not Available,Not Available,Not Indexed,http://www.sanp.ch/
Health and Social Care Delivery Research,NIHR Journals Library,Free (MU Directory),Not Available,Indexed (Source File),https://www.journalslibrary.nihr.ac.uk/hsdr/#/
People Living with And Inspired by Diabetes,Florida State University College of Medicine,Not Available,Not Available,Not Indexed,http://theplaidjournal.com/
Annals of Urologic Oncology,Asian Medical Press Ltd.(H.K.),  (DOAJ),Not Available,Not Indexed,http://www.asmepress.com/
African Journal of Thoracic and Critical Care Medicine,Health and Medical Publishing Group,  (DOAJ),Not Available,Indexed (Source File),http://www.ajtccm.org.za/
European Medical Journal Diabetes,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,http://emjreviews.com/therapeutic-area/diabetes/
Cardiovascular Medicine,EMH Swiss Medical Publishers Ltd.,No APC (DOAJ),Not Available,Indexed (Source File),http://www.cardiovascmed.ch/
Leprosy Review,LEPRA (The British Leprosy Relief Association),No APC (DOAJ),Not Available,Indexed (Source File),https://leprosyreview.org/
Health Behavior Research,New Prairie Press,Free (MU Directory),Not Available,Not Indexed,https://newprairiepress.org/hbr/
Maternal-Fetal Medicine,Wolters Kluwer Health,Free (MU Directory),Not Available,Indexed (Source File),https://journals.lww.com/mfm/pages/default.aspx
The Egyptian Journal of Internal Medicine,SpringerOpen,Free (MU Directory),Not Available,Not Indexed,https://ejim.springeropen.com/
Canadian Oncology Nursing Journal,Pappin Communications,Not Available,Not Available,Not Indexed,http://www.canadianoncologynursingjournal.com/index.php/conj
Radiography Open,OsloMet — Oslo Metropolitan University,No APC (DOAJ),Not Available,Not Indexed,https://journals.oslomet.no/index.php/radopen/index
Aging Medicine,Wiley,Free (MU Directory),Not Available,Indexed (Source File),https://onlinelibrary.wiley.com/journal/24750360
Journal of Arrhythmia,Wiley,No APC (DOAJ),Not Available,Indexed (Source File),https://onlinelibrary.wiley.com/journal/18832148
GE: Portuguese Journal of Gastroenterology,Karger Publishers,No APC (DOAJ),Not Available,Not Indexed,http://www.karger.com/Journal/Home/272027
International Journal of Medical Device and Adjuvant Treatments,Verduci Editore,No APC (DOAJ),Not Available,Not Indexed,http://www.ijmdat.com/
Burns & Trauma,Oxford University Press,Free (MU Directory),Not Available,Not Indexed,https://academic.oup.com/burnstrauma
Voices in Bioethics,Columbia University Libraries,Free (MU Directory),Not Available,Not Indexed,https://journals.library.columbia.edu/index.php/bioethics/index
Current Urology,Wolters Kluwer Health,Free (MU Directory),Not Available,Indexed (Source File),https://journals.lww.com/cur/pages/default.aspx
Murmurations,Everything is Connected Press,No APC (DOAJ),Not Available,Not Indexed,https://murmurations.cloud/
Journal of Patient-Centered Research and Reviews,Aurora Health Care,Free (MU Directory),Not Available,Not Indexed,http://digitalrepository.aurorahealthcare.org/jpcrr/
Journal of Early Hearing Detection and Intervention,Utah State University,No APC (DOAJ),Not Available,Not Indexed,https://digitalcommons.usu.edu/jehdi/
Journal of Perioperative Nursing,Australian College of Perioperative Nurses,No APC (DOAJ),Not Available,Indexed (Source File),https://www.journal.acorn.org.au/jpn/
Journal of Long-Term Care,LSE Press,Free (MU Directory),Not Available,Indexed (Source File),https://journal.ilpnetwork.org/
Renal Replacement Therapy,BMC,Free (MU Directory),Not Available,Indexed (Website),https://rrtjournal.biomedcentral.com/
JMIR Dermatology,JMIR Publications,  (DOAJ),Not Available,Indexed (Website),https://derma.jmir.org/
European Journal of Health Communication (EJHC),"University of Zurich, IKMZ – Department of Communication and Media Research",No APC (DOAJ),Not Available,Not Indexed,https://ejhc.org/
Norsk Epidemiologi,Norsk Forening for Epidemiologi,Not Available,Not Available,Indexed (Source File),https://www.ntnu.no/ojs/index.php/norepid/index
Journal of Pharmacy & Pharmaceutical Sciences,Canadian Society for Pharmaceutical Sciences,Free (MU Directory),Not Available,Not Indexed,http://ejournals.library.ualberta.ca/index.php/JPPS/index
Advances in Clinical Neuroscience & Rehabilitation,Whitehouse Publishing,Free (MU Directory),Not Available,Not Indexed,http://www.acnr.co.uk/
International Journal of Health Preference Research,CybelePress,Not Available,Not Available,Not Indexed,http://www.cybelepress.com/ijhpr.html
The Journal of Forensic Science Education,Texas Digital Library,No APC (DOAJ),Not Available,Not Indexed,https://jfse-ojs-tamu.tdl.org/jfse/index.php/jfse
Reumatismo,PAGEPress Publications,No APC (DOAJ),Not Available,Likely Indexed (Website),http://www.reumatismo.org/
Progress in Orthodontics,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),http://www.progressinorthodontics.com/
Indian Journal of Neurosurgery,"Thieme Medical Publishers, Inc.",Free (MU Directory),Not Available,Not Indexed,https://doi.org/10.1055/s-00028728
Brain Science Advances,SAGE Publishing,No APC (DOAJ),Not Available,Not Indexed,https://journals.sagepub.com/home/bsa
Animal Diseases,BMC,Free (MU Directory),Not Available,Indexed (Website),https://animaldiseases.biomedcentral.com/
Australian Prescriber,NPS MedicineWise,No APC (DOAJ),Not Available,Indexed (Source File),https://www.nps.org.au/australian-prescriber
AIMS Allergy and Immunology,American Institute of Mathematical Sciences,Free (MU Directory),Not Available,Not Indexed,http://www.aimspress.com/journal/Allergy
Irish Journal of Paramedicine,Irish College of Paramedics,Not Available,Not Available,Not Indexed,http://www.irishparamedicine.com/
The Saudi Journal of Health Systems Research,Karger Publishers,No APC (DOAJ),Not Available,Not Indexed,https://www.karger.com/Journal/Home/280419
World Journal of Pediatric Surgery,BMJ Publishing Group,Free (MU Directory),Not Available,Indexed (Source File),https://wjps.bmj.com/
Proceedings of Singapore Healthcare,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),http://journals.sagepub.com/home/PSH
Christian Journal for Global Health,Health for All Nations,Free (MU Directory),Not Available,Indexed (Source File),https://journal.cjgh.org/index.php/cjgh
Therapeutic Advances in Ophthalmology,SAGE Publishing,Free (MU Directory),Not Available,Not Indexed,http://journals.sagepub.com/home/oed
Global Rheumatology,Panamerican League of Associations of Rheumatology (PANLAR),No APC (DOAJ),Not Available,Not Indexed,https://globalrheumpanlar.org/?language=en
healthbook TIMES. Oncology Hematology,THE HEALTHBOOK COMPANY LTD.,No APC (DOAJ),Not Available,Not Indexed,https://onco-hema.healthbooktimes.org/
Optometric Education,Association of Schools and Colleges of Optometry,No APC (DOAJ),Not Available,Not Indexed,https://journal.opted.org/
Annals of Pediatric Surgery,SpringerOpen,Free (MU Directory),Not Available,Indexed (Source File),https://aops.springeropen.com/
Impulse: The Premier Undergraduate Neuroscience Journal,Appalachian State University Honors College,Free (MU Directory),Not Available,Not Indexed,http://impulse.appstate.edu/
Journal of Student-Run Clinics,Society of Student-Run Free Clinics,No APC (DOAJ),Not Available,Not Indexed,http://journalsrc.org/index.php/jsrc/index
International Journal of Therapeutic Massage & Bodywork,Massage Therapy Foundation,No APC (DOAJ),Not Available,Indexed (Website),http://www.ijtmb.org/
Journal of the Georgia Public Health Association,Georgia Southern University,Free (MU Directory),Not Available,Not Indexed,https://digitalcommons.georgiasouthern.edu/jgpha/
Ain Shams Journal of Anesthesiology,SpringerOpen,Free (MU Directory),Not Available,Not Indexed,https://asja.springeropen.com/
Philosophy of Medicine,"University Library System, University of Pittsburgh",Free (MU Directory),Not Available,Not Indexed,https://philmed.pitt.edu/philmed
Cooper Rowan Medical Journal,Rowan Digital Works,No APC (DOAJ),Not Available,Not Indexed,https://rdw.rowan.edu/crjcsm/
Basic and Applied Myology,Unipress Padova,No APC (DOAJ),Not Available,Not Indexed,http://www.bio.unipd.it/bam/
GMS Ophthalmology Cases,German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Indexed,https://www.egms.de/en/journals/oc/
BME Frontiers,American Association for the Advancement of Science,Free (MU Directory),Not Available,Not Indexed,https://spj.sciencemag.org/bmef
Reproductive and Developmental Medicine,Wolters Kluwer Health/LWW,Free (MU Directory),Not Available,Indexed (Source File),https://journals.lww.com/RDM/pages/default.aspx
Dr. Sulaiman Al Habib Medical Journal,Springer,Free (MU Directory),Not Available,Not Indexed,https://www.springer.com/journal/44229/
Witness,York University Libraries,No APC (DOAJ),Not Available,Not Indexed,http://www.yorku.ca/witness
BJPsych Bulletin,Cambridge University Press,Free (MU Directory),Not Available,Indexed (Source File),https://www.cambridge.org/core/journals/bjpsych-bulletin
Oncobiology and Targets,HATASO,Free (MU Directory),Not Available,Not Indexed,https://onbt.scholasticahq.com/
European Respiratory Review,European Respiratory Society,Free (MU Directory),Not Available,Indexed (Source File),https://err.ersjournals.com/
Surgical and Experimental Pathology,BMC,Free (MU Directory),Not Available,Not Indexed,https://surgexppathol.biomedcentral.com/
Pediatric Anesthesia and Critical Care Journal (PACCJ),Pediatric Anesthesia and Critical Care Journal,  (DOAJ),Not Available,Not Indexed,http://www.paccjournal.com/
Journal of the Egyptian Public Health Association,SpringerOpen,Free (MU Directory),Not Available,Indexed (Website),https://jepha.springeropen.com/
Journal of Medical Physics,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jmp.org.in/
Observational Studies,University of Pennsylvania Press,No APC (DOAJ),Not Available,Indexed (Source File),https://obs.pennpress.org/
Neuropsychological Trends,LED Edizioni Universitarie,No APC (DOAJ),Not Available,Indexed (Source File),http://www.ledonline.it/NeuropsychologicalTrends/index.html
Journal of Craniovertebral Junction and Spine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://jcvjs.com/
"Cancer Research, Statistics, and Treatment",Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.crstonline.com/
Journal of Geriatric Mental Health,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jgmh.org/
Egyptian Rheumatologist,Elsevier,Not Available,Not Available,Indexed (Source File),http://www.journals.elsevier.com/the-egyptian-rheumatologist/
Reconstructive Review,Joint Implant Surgery & Research Foundation,Free (MU Directory),Not Available,Not Indexed,http://reconstructivereview.org/
Journal of Vector Borne Diseases,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jvbd.org/
Indian Journal of Paediatric Dermatology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ijpd.in/aboutus.asp
Hellenic Journal of Cardiology,Elsevier,No APC (DOAJ),Not Available,Not Indexed,http://www.journals.elsevier.com/hellenic-journal-of-cardiology
Journal of the Indian Academy of Geriatrics,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.jiag.in/
Muller Journal of Medical Sciences and Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.mjmsr.net/
Saudi Journal of Kidney Diseases and Transplantation,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.sjkdt.org/
Saudi Endodontic Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.saudiendodj.com/
Journal of Clinical Ophthalmology and Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jcor.in/
The Journal of Indian Prosthodontic Society,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.j-ips.org/
Urological Science,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.e-urol-sci.com/
MAMC Journal of Medical Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.mamcjms.in/
Nefrología (English Edition),Elsevier,No APC (DOAJ),Not Available,Not Indexed,https://www.journals.elsevier.com/nefrologia-english-edition/
European Medical Journal Urology,European Medical Journal,Free (MU Directory),Not Available,Not Indexed,http://emjreviews.com/therapeutic-area/urology/
Archives of Mental Health,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.amhonline.org/
Archives of Medicine and Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.amhsjournal.org/
Journal of Nature and Science of Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jnsmonline.org/
Journal of Indian Society of Pedodontics and Preventive Dentistry,Wolters Kluwer Medknow Publications,  (DOAJ),Not Available,Not Indexed,http://www.jisppd.com/
Apollo Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.apollomedicine.org/
Journal of Mid-Life Health,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jmidlifehealth.org/
Indian Dermatology Online Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.idoj.in/
Asian Journal of Oncology,"Thieme Medical Publishers, Inc.",Free (MU Directory),Not Available,Not Indexed,https://doi.org/10.1055/s-00042137
Research in Cardiovascular Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.rcvmonline.com/
World Journal of Traditional Chinese Medicine,Wolters Kluwer Medknow Publications,No APC (DOAJ),Not Available,Indexed (Source File),http://www.wjtcm.net/
Revista Portuguesa de Cardiologia,Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),https://www.journals.elsevier.com/revista-portuguesa-de-cardiologia/
Journal of Surgical Specialties and Rural Practice,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://jssrp.org/
Journal of Diabetology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.journalofdiabetology.org/
Dentistry and Medical Research,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.dmrjournal.org/
Chinese Journal of Traumatology,Elsevier,No APC (DOAJ),Not Available,Not Indexed,https://www.journals.elsevier.com/chinese-journal-of-traumatology/
Health Promotion and Chronic Disease Prevention in Canada,Public Health Agency of Canada,No APC (DOAJ),Not Available,Not Indexed,https://www.canada.ca/en/public-health/services/reports-publications/health-promotion-chronic-disease-prevention-canada-research-policy-practice.html
Current Medicine Research and Practice,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,https://www.cmrpjournal.org/
Indian Journal of Health Sciences and Biomedical Research KLEU,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.ijournalhs.org/
Taiwan Journal of Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.e-tjo.org/
Kerala Journal of Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.kjophthal.com/
Journal of Orofacial Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.jofs.in/
Tzu-Chi Medical Journal,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.tcmjmed.com/
Asian Journal of Social Health and Behavior,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),https://healthandbehavior.com/
Annals of Movement Disorders,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.aomd.in/
Turkish Journal of Plastic Surgery,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Likely Indexed (Website),http://www.turkjplastsurg.org/aboutus.asp
Eurasian Journal of Pulmonology,Wolters Kluwer Medknow Publications,Not Available,Not Available,Not Indexed,http://www.eurasianjpulmonol.com/aboutus.asp
Journal of Sport and Health Science,Elsevier,No APC (DOAJ),Not Available,Indexed (Source File),http://www.journals.elsevier.com/journal-of-sport-and-health-science
"Journal of Orthopedics, Traumatology and Rehabilitation",Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Indexed,http://www.jotr.in/
Indian Journal of Psychological Medicine,SAGE Publishing,Free (MU Directory),Not Available,Indexed (Source File),https://journals.sagepub.com/home/szj
Asian Pacific Journal of Tropical Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Indexed (Source File),http://www.apjtm.org/
