Journal Title,Publisher,ISSN,Review Time,APC,Scopus Indexing,Quartile,SJR,Source URL,Review Time Source,APC Source
Campbell Systematic Reviews,John Wiley & Sons Inc.,18911803,6 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Campbell Systematic Reviews is 7.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.585,https://onlinelibrary.wiley.com/journal/18911803,journalsearches.com,MU Directory
Communication and the Public,SAGE Publications Inc.,20570481,12 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Communication And The Public is 1.5. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.522,https://journals.sagepub.com/home/CTP,journalsearches.com,journalsearches.com
Collective Intelligence,SAGE Publishing,2633-9137,11 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/COL,journalsearches.com,DOAJ
Revista Portuguesa de Pneumologia (English Edition),Elsevier,2173-5115,8 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.journals.elsevier.com/revista-portuguesa-de-pneumologia-english-edition,journalsearches.com,DOAJ
Revista Portuguesa de Pneumologia,Sociedade Portuguesa de Pneumologia,08732159,8 weeks,Free (Stated on Website),Indexed,Not Available,Not Available,https://www.journals.elsevier.com/revista-portuguesa-de-pneumologia/,journalsearches.com,journalsearches.com
Global Media and China,SAGE Publications Ltd,20594372,15 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Global Media And China is 3.4. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.122,http://journals.sagepub.com/home/gch,journalsearches.com,journalsearches.com
Journal of Politics in Latin America,SAGE Publications Inc.,"18684890, 1866802X",8 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of Politics In Latin America is 2.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.643,https://journals.sagepub.com/home/pla,journalsearches.com,journalsearches.com
Satellite Navigation,Springer International Publishing,"26629291, 26621363",12 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Satellite Navigation is 10.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",2.658,https://satellite-navigation.springeropen.com/,Springer (Direct),MU Directory
Vikalpa,SAGE Publications Ltd,"23953799, 02560909",10 weeks,Free (MU Directory),Indexed,Q4,37,https://journals.sagepub.com/home/vik,journalsearches.com,MU Directory
Disciplinary and Interdisciplinary Science Education Research,Springer,26622300,18 days,Free (MU Directory),Indexed,Q1,19,https://diser.springeropen.com/,Springer (Direct),MU Directory
Data Science and Engineering,Springer International Publishing,"23641541, 23641185",12 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Data Science And Engineering is 4.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.273,http://www.springer.com/41019,journalsearches.com,journalsearches.com
International Journal of Chinese Education,SAGE Publications Ltd,"22125868, 2212585X",11 weeks,Free (Stated on Website),Indexed,Q2,13,https://journals.sagepub.com/home/cne,journalsearches.com,journalsearches.com
Discover Civil Engineering,Springer,2948-1546,19 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44290,Springer (Direct),DOAJ
Journal of Eurasian Studies,Hanyang University,18793665,8 weeks,Free (MU Directory),Indexed,Q1,31,https://journals.sagepub.com/home/ens,journalsearches.com,MU Directory
International Journal of Anthropology and Ethnology,Springer Nature,23661003,13 days,Free (MU Directory),Indexed,Q2,7,https://ijae.springeropen.com/,Springer (Direct),MU Directory
Middle East Current Psychiatry,Lippincott Williams and Wilkins Ltd.,"20905408, 20905416",7 days,Free (MU Directory),Indexed,Q3,21,https://mecp.springeropen.com/,Springer (Direct),MU Directory
Low-Carbon Materials and Green Construction,Springer,2731-6319,19 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://www.springer.com/journal/44242,Springer (Direct),DOAJ
Future Business Journal,SpringerOpen,2314-7210,10 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://fbj.springeropen.com/,Springer (Direct),MU Directory
Pacific Journal of Mathematics for Industry,SpringerOpen,2198-4115,5 weeks,Free (MU Directory),Not Indexed,Not Available,Not Available,https://pacific-mathforindustry.springeropen.com/,journalsearches.com,MU Directory
Journal of Modern Transportation,Springer Science and Business Media Deutschland GmbH,2095087X,7 days,Free (MU Directory),Indexed,Not Available,Not Available,https://www.springer.com/journal/40534,Springer (Direct),MU Directory
Journal of Electrical Systems and Information Technology,SpringerOpen,2314-7172,12 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://jesit.springeropen.com/,Springer (Direct),MU Directory
The Egyptian Heart Journal,SpringerOpen,2090-911X,9 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://tehj.springeropen.com/,Springer (Direct),MU Directory
Journal of the Egyptian National Cancer Institute,Springer Science and Business Media Deutschland GmbH,"11100362, 25890409",8 days,Free (MU Directory),Indexed,"Q3The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of The Egyptian National Cancer Institute is 1.8. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.561,https://jenci.springeropen.com,Springer (Direct),MU Directory
Swiss Journal of Economics and Statistics,Springer Nature,22356282,9 days,Free (MU Directory),Indexed,Q3,19,https://sjes.springeropen.com/,Springer (Direct),MU Directory
Egyptian Journal of Biological Pest Control,Springer Science and Business Media Deutschland GmbH,"11101768, 25369342",11 days,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Egyptian Journal Of Biological Pest Control is 2.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.671,https://ejbpc.springeropen.com/,Springer (Direct),MU Directory
Asian Journal for Mathematics Education,SAGE Publications Ltd,"27527271, 27527263",15 weeks,Free (Stated on Website),Indexed,Q3,3,https://journals.sagepub.com/description/MEA,journalsearches.com,journalsearches.com
Nordic Studies on Alcohol and Drugs,SAGE Publishing,1458-6126,30 weeks,Free (MU Directory),Not Indexed,Not Available,Not Available,http://journals.sagepub.com/home/nada,journalsearches.com,MU Directory
Middle East Fertility Society Journal,Springer Science and Business Media Deutschland GmbH,"11105690, 20903251",11 days,Free (MU Directory),Indexed,"Q3The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Middle East Fertility Society Journal is 1.3. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.39,https://mefj.springeropen.com,Springer (Direct),MU Directory
Egyptian Journal of Medical Human Genetics,"ISSN: 20902441, 11108630 Journal Scope: Medicine","20902441, 11108630",22 days,Free (MU Directory),Indexed,"Q4The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Egyptian Journal Of Medical Human Genetics is 1.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.332,https://jmhg.springeropen.com,Springer (Direct),MU Directory
Proceedings of Singapore Healthcare,SingHealth Academy,"20592329, 20101058",15 weeks,Free (MU Directory),Indexed,"Q3The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Proceedings Of Singapore Healthcare is 0.5. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.251,http://journals.sagepub.com/home/PSH,journalsearches.com,MU Directory
Hong Kong Journal of Occupational Therapy,Elsevier (Singapore) Pte Ltd,15691861,30 weeks,Free (MU Directory),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Hong Kong Journal Of Occupational Therapy is 1.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.407,https://journals.sagepub.com/home/hjo,journalsearches.com,MU Directory
African Journal of Urology,Springer Science and Business Media Deutschland GmbH,"19619987, 11105704",10 days,Free (MU Directory),Indexed,"Q3The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of African Journal Of Urology is 0.4. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.232,https://afju.springeropen.com,Springer (Direct),MU Directory
Bulletin of Faculty of Physical Therapy,SpringerOpen,2536-9660,18 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://bfpt.springeropen.com/,Springer (Direct),MU Directory
Egyptian Pediatric Association Gazette,SpringerOpen,2090-9942,7 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://epag.springeropen.com/,Springer (Direct),MU Directory
The Egyptian Journal of Otolaryngology,SpringerOpen,2090-8539,45 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://ejo.springeropen.com/,Springer (Direct),MU Directory
Journal of Current Southeast Asian Affairs,SAGE Publications Ltd,"18684882, 18681034",8 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of Current Southeast Asian Affairs is 1.7. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.76,https://journals.sagepub.com/home/saa,journalsearches.com,journalsearches.com
Living Reviews in Solar Physics,Springer International Publishing AG,"16144961, 23673648",20 weeks,Free (MU Directory),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Living Reviews In Solar Physics is 27.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",7.431,https://www.springer.com/journal/41116,journalsearches.com,MU Directory
NMIMS Management Review,Narsee Monjee Institute of Management Studies,Not Available,7 weeks,Free (Stated on Website),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/NRM,journalsearches.com,journalsearches.com
Indian Journal of Clinical Cardiology,SAGE Publishing,2632-4644,15 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/occ,journalsearches.com,DOAJ
Organization Theory,SAGE Publications Ltd,26317877,16 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Organization Theory is 6.4. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",6.872,https://journals.sagepub.com/home/ott,journalsearches.com,journalsearches.com
Beni-Suef University Journal of Basic and Applied Sciences,Springer Science and Business Media Deutschland GmbH,"23148543, 23148535",12 days,Free (MU Directory),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Beni-suef University Journal Of Basic And Applied Sciences is 2.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.504,https://bjbas.springeropen.com,Springer (Direct),MU Directory
The Egyptian Journal of Bronchology,SpringerOpen,2314-8551,8 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://ejb.springeropen.com/,Springer (Direct),MU Directory
Indian Journal of Rheumatology,SAGE Publications Ltd,9733698,8 weeks,Free (MU Directory),Indexed,"Q4The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Indian Journal Of Rheumatology is 0.5. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.167,https://journals.sagepub.com/home/JRH,journalsearches.com,MU Directory
Journal of the Egyptian Public Health Association,SpringerOpen,2090-262X,8 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://jepha.springeropen.com/,Springer (Direct),MU Directory
Chinese Journal of Mechanical Engineering,SpringerOpen,2192-8258,36 days,Free (MU Directory),Not Indexed,Not Available,Not Available,https://cjme.springeropen.com/,Springer (Direct),MU Directory
Ain Shams Journal of Anesthesiology,SpringerOpen,2090-925X,10 weeks,Free (MU Directory),Not Indexed,Not Available,Not Available,https://asja.springeropen.com/,journalsearches.com,MU Directory
Emerging Economies Cases Journal,Indian Institute of Management Rohtak,2516-6050,16 weeks,  (DOAJ),Not Indexed,Not Available,Not Available,https://journals.sagepub.com/home/EEC,journalsearches.com,DOAJ
Annals of Pediatric Surgery,SpringerOpen,2090-5394,9 weeks,Free (MU Directory),Not Indexed,Not Available,Not Available,https://aops.springeropen.com/,journalsearches.com,MU Directory
Journal of the Egyptian Mathematical Society,SpringerOpen,2090-9128,9 weeks,Free (MU Directory),Not Indexed,Not Available,Not Available,https://joems.springeropen.com/,journalsearches.com,MU Directory
Journal of Traditional and Complementary Medicine,National Taiwan University,22254110,12 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Journal Of Traditional And Complementary Medicine is 3.0. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.701,http://www.journals.elsevier.com/journal-of-traditional-and-complementary-medicine/,journalsearches.com,journalsearches.com
Indian Heart Journal,Elsevier B.V.,"22133763, 00194832",53 weeks,Free (Stated on Website),Indexed,"Q3The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Indian Heart Journal is 1.8. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.458,https://www.sciencedirect.com/journal/indian-heart-journal,journalsearches.com,journalsearches.com
Egyptian Liver Journal,Lippincott Williams and Wilkins Ltd.,"20906226, 20906218",8 days,Free (MU Directory),Indexed,Q4,11,https://eglj.springeropen.com/,Springer (Direct),MU Directory
International Journal of Mining Science and Technology,China University of Mining and Technology,20952686,40 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of International Journal Of Mining Science And Technology is 13.7. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",3.137,https://www.sciencedirect.com/journal/international-journal-of-mining-science-and-technology/vol/27/issue/6,journalsearches.com,journalsearches.com
Japanese Dental Science Review,Elsevier Ltd,"18827616, 22136851",30 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Japanese Dental Science Review is 6.6. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.575,https://www.sciencedirect.com/journal/japanese-dental-science-review,journalsearches.com,journalsearches.com
Discover Soil,Springer,3005-1223,22 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44378,Springer (Direct),DOAJ
Discover Electrochemistry,Springer,3005-1215,21 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44373,Springer (Direct),DOAJ
Rice Science,Elsevier B.V.,16726308,40 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Rice Science is 6.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",1.153,https://www.sciencedirect.com/journal/rice-science,journalsearches.com,journalsearches.com
Computational Visual Media,Institute of Electrical and Electronics Engineers Inc.,"20960662, 20960433",6 weeks,Free (Stated on Website),Indexed,"Q1The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Computational Visual Media is 18.3. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",3.166,http://www.springer.com/41095,journalsearches.com,journalsearches.com
Pediatrics and Neonatology,Elsevier (Singapore) Pte Ltd,"18759572, 22121692",52 weeks,Free (Stated on Website),Indexed,"Q2The latest Impact Factor list (JCR) was released in June 2025.The Impact Factor of Pediatrics And Neonatology is 2.1. The impact factor (IF) is a measure of the frequency with which the average article in a journal has been cited in a particular year. It is used to measure the importance or rank of a journal by calculating the times its articles are cited.The impact factor was devised by Eugene Garfield, the founder of the Institute for Scientific Information (ISI) in Philadelphia. Impact factors began to be calculated yearly starting from 1975 for journals listed in the Journal Citation Reports (JCR). ISI was acquired by Thomson Scientific & Healthcare in 1992, and became known as Thomson ISI. In 2018, Thomson-Reuters spun off and sold ISI to Onex Corporation and Baring Private Equity Asia. They founded a new corporation, Clarivate, which is now the publisher of the JCR.",0.538,https://www.sciencedirect.com/journal/pediatrics-and-neonatology,journalsearches.com,journalsearches.com
Brazilian Journal of Anesthesiology,Elsevier Editora Ltda,00347094,51 weeks,Free (Stated on Website),Indexed,Not Available,Not Available,https://www.sciencedirect.com/journal/brazilian-journal-of-anesthesiology-english-edition,journalsearches.com,journalsearches.com
Smart Construction and Sustainable Cities,Springer,2731-9032,19 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44268,Springer (Direct),DOAJ
Discover Cities,Springer,3004-8311,17 days,  (DOAJ),Not Indexed,Not Available,Not Available,https://link.springer.com/journal/44327,Springer (Direct),DOAJ
