Journal Name,Publisher,Initial Link,ISSN,APC,Quartile,Scopus Status,Review Time
Respiratory Care,Society of Mechanical Ventilation,https://rc.rcjournal.com/,2694-0450,No APC (DOAJ),Q2,Indexed,Not Available
Modern Rheumatology,Oxford University Press,https://academic.oup.com/mr,Not Available,Unknown,Q2,Indexed,Not Available
International Journal Of Rheumatic Diseases,John Wiley and Sons Inc,https://onlinelibrary.wiley.com/journal/1756185X,Not Available,Unknown,Q3,Indexed,Not Available
Immunology And Allergy Clinics Of North America,W.B. Saunders,https://www.journals.elsevier.com/immunology-and-allergy-clinics-of-north-america,Not Available,Unknown,Q2,Indexed,Not Available
Minerva Anestesiologica,Edizioni Minerva Medica S.p.A.,https://www.minervamedica.it/en/journals/minerva-anestesiologica/publishing_options.php,Not Available,Unknown,Q2,Indexed,Not Available
International Journal of Obstetric Anesthesia,Churchill Livingstone,https://www.elsevier.com/journals/international-journal-of-obstetric-anesthesia/0959-289X/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Cardiothoracic and Vascular Anesthesia,W.B. Saunders,https://www.elsevier.com/journals/journal-of-cardiothoracic-and-vascular-anesthesia/1053-0770/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Acta Anaesthesiologica Scandinavica,Blackwell Munksgaard,https://onlinelibrary.wiley.com/page/journal/13996576/homepage/fundedaccess.html,Not Available,Unknown,Q2,Indexed,Not Available
Surgical Oncology,University Hospital for Tumors,https://www.elsevier.com/journals/surgical-oncology/0960-7404/open-access-options,"0300-8142, 2584-3826",No APC (DOAJ),Q1,Indexed,Not Available
Journal of Cardiovascular Translational Research,Diponegoro University,https://www.springer.com/journal/12265/how-to-publish-with-us#Fees%20and%20Funding,2503-2178,Has APC (See https://ejournal2.undip.ac.id/index.php/jbtr/about/editorialPolicies#custom-1),Q1,Indexed,Not Available
Archives of Cardiovascular Diseases,Elsevier Masson s.r.l.,https://www.elsevier.com/journals/archives-of-cardiovascular-diseases/1875-2136/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Cardiology,Wiley,https://www.elsevier.com/journals/journal-of-cardiology/0914-5087/open-access-options,"2090-6404, 2090-6412",Has APC (See https://onlinelibrary.wiley.com/page/journal/4208/homepage/open-access),Q2,Indexed,Not Available
Facial Plastic Surgery & Aesthetic Medicine,"MARY ANN LIEBERT, INC Facial Plastic Surgery and Aesthetic MedicineE-ISSN: 26893622Publisher: Mary Ann Liebert Inc. Facial Plastic Surgery & Aesthetic MedicineE-ISSN: 2689-3622Publisher: Mary Ann Liebert, Inc. GMS German Plastic, Reconstructive and Aesthetic Surgery – Burn and Hand SurgeryE-ISSN: 2193-7052Publisher: German Medical Science GMS Publishing House Plastic Surgery and Aesthetic MedicineE-ISSN: 27133389Publisher: Media Sphera Publishing Group FACIAL PLASTIC SURGERYE-ISSN: 1098-8793Publisher: THIEME MEDICAL PUBL INC FACIAL PLASTIC SURGERY CLINICS OF NORTH AMERICAE-ISSN: 1558-1926Publisher: W B SAUNDERS CO-ELSEVIER INC Archives of Facial Plastic SurgeryE-ISSN: Publisher: American Medical Association Facial Plastic SurgeryE-ISSN: 10988793Publisher: Thieme Medical Publishers Facial Plastic Surgery Clinics of North AmericaE-ISSN: Publisher: W. B. Saunders Co., Ltd. JAMA Facial Plastic SurgeryE-ISSN: 21686092Publisher: American Medical Association AESTHETIC PLASTIC SURGERYE-ISSN: 1432-5241Publisher: SPRINGER JOURNAL OF PLASTIC RECONSTRUCTIVE AND AESTHETIC SURGERYE-ISSN: 1878-0539Publisher: ELSEVIER SCI LTD ARCHIVES OF AESTHETIC PLASTIC SURGERYE-ISSN: 2288-9337Publisher: KOREAN SOC AESTHETIC PLASTIC SURGERY Archives of Aesthetic Plastic SurgeryE-ISSN: 2288-9337Publisher: Korean Society for Aesthetic Plastic SurgeryNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",https://home.liebertpub.com/publications/facial-plastic-surgery-and-aesthetic-medicine/655/for-authors#manuscript,Not Available,Unknown,Not Available,Likely Indexed,Not Available
World Neurosurgery,Elsevier,https://www.elsevier.com/journals/world-neurosurgery/1878-8750/open-access-options,2590-1397,Has APC (See https://www.sciencedirect.com/journal/world-neurosurgery-x/publish/open-access-options),Q2,Indexed,Not Available
Heart Failure Clinics,Elsevier Inc.,https://www.journals.elsevier.com/heart-failure-clinics,Not Available,Unknown,Q2,Indexed,Not Available
CardioVascular and Interventional Radiology,Akadémiai Kiadó,https://www.springer.com/journal/270/how-to-publish-with-us#Fees%20and%20Funding,"2061-1617, 2061-5094",No APC (DOAJ),Q2,Indexed,Not Available
Cardiovascular Toxicology,Springer,https://www.springer.com/journal/12012/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Arquivos Brasileiros de Cardiologia,Sociedade Brasileira de Cardiologia (SBC),https://abccardiol.org/en/publication-guidelines/,"0066-782X, 1678-4170",Has APC (See https://www.scielo.br/journal/abc/about/#instructions),Q3,Indexed,10 weeks
Cardiology Clinics,W.B. Saunders,https://www.journals.elsevier.com/cardiology-clinics,Not Available,Unknown,Q2,Indexed,Not Available
Cardiovascular Engineering and Technology,MDPI AG,https://www.springer.com/journal/13239/how-to-publish-with-us#Fees%20and%20Funding,2673-8430,Has APC (See https://www.mdpi.com/journal/biomed/apc),Q3,Indexed,Not Available
Minerva Cardiology and Angiology,Edizioni Minerva Medica S.p.A.,https://www.minervamedica.it/en/journals/minerva-cardiology-angiology/notice-to-authors.php,Not Available,Unknown,Q3,Indexed,Not Available
Pediatric Surgery International,International College of Surgeons,https://www.springer.com/journal/383/how-to-publish-with-us#Fees%20and%20Funding,2520-2456,Has APC (See https://international-surgery.kglmeridian.com/page/for_authors),Q2,Indexed,Not Available
Seminars in Pediatric Surgery,W.B. Saunders,https://www.elsevier.com/journals/seminars-in-pediatric-surgery/1055-8586/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Facial Plastic Surgery Clinics of North America,W.B. Saunders,https://www.journals.elsevier.com/facial-plastic-surgery-clinics-of-north-america,Not Available,Unknown,Q1,Indexed,Not Available
Surgical Innovation,SAGE Publications Inc.,https://journals.sagepub.com/author-instructions/SRI,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Reconstructive Microsurgery,"Thieme Medical Publishers, Inc.",https://shop.thieme.de/en/Journal-of-Reconstructive-Microsurgery/0743-684X,"2234-6163, 2234-6171",Has APC (See https://cdn0.scrvt.com/9ca5761af4a1cf7bf49dd51537e8f4d1/0cd2156449e6a3a5/bf08e18b76ea/Jan31_APC-list-price-for-2025.xlsx),Q1,Indexed,Not Available
Revue Neurologique,Elsevier Masson s.r.l.,https://www.elsevier.com/journals/revue-neurologique/0035-3787/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Muscle & Nerve,"WILEY Muscle & nerve. SupplementE-ISSN: Publisher: John Wiley & Sons Inc. Muscle and NerveE-ISSN: 10974598Publisher: John Wiley & Sons Inc. JOURNAL OF BRACHIAL PLEXUS AND PERIPHERAL NERVE INJURYE-ISSN: 1749-7221Publisher: THIEME MEDICAL PUBL INC Journal of Brachial Plexus and Peripheral Nerve InjuryE-ISSN: 1749-7221Publisher: Georg Thieme Verlag KG The NerveE-ISSN: 2465-891XPublisher: The Korean Society of Peripheral Nervous System Brain and NerveE-ISSN: Publisher: Igaku-Shoin Ltd. Brain and nerve = Shinkei kenkyu no shinpoE-ISSN: Publisher: Igaku Shoin Ltd. Journal of Brachial Plexus and Peripheral Nerve InjuryE-ISSN: Publisher: BioMed Central Journal of Brachial Plexus and Peripheral Nerve InjuryE-ISSN: 1749-7221Publisher: Thieme Medical Publishers JOURNAL OF CACHEXIA SARCOPENIA AND MUSCLEE-ISSN: 2190-6009Publisher: WILEY JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITYE-ISSN: 1573-2657Publisher: SPRINGER SKELETAL MUSCLEE-ISSN: 2044-5040Publisher: BMC Journal of Smooth Muscle ResearchE-ISSN: Publisher: Japan Society of Smooth Muscle Research Skeletal MuscleE-ISSN: 2044-5040Publisher: BMCNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",https://onlinelibrary.wiley.com/journal/10974598,Not Available,Unknown,Not Available,Likely Indexed,Not Available
Neurosurgery Clinics of North America,W.B. Saunders,https://www.elsevier.com/journals/neurosurgery-clinics-of-north-america/1042-3680/subscribe?subscriptiontype=institutional,Not Available,Unknown,Q1,Indexed,Not Available
Dementia and Geriatric Cognitive Disorders,Karger Publishers,https://www.karger.com/Journal/Guidelines/224226#sec62,1664-5464,Has APC (See https://www.karger.com/Journal/Guidelines/254733#sec62),Q2,Indexed,Not Available
Seminars in Neurology,"Thieme Medical Publishers, Inc.",https://www.thieme.in/seminars-in-neurology,Not Available,Unknown,Q2,Indexed,Not Available
Brain Tumor Pathology,Springer Japan,https://www.springer.com/journal/10014/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Neuroradiology,"NAMS of Ukraine, State Organization ""Scientific-Practical Center of Endovascular Neuroradiology, Non-Governmental Organization “All Ukrainian Association of Endovascular Neuroradiology, Shupyk National Healthcare University of Ukraine",https://www.springer.com/journal/234/how-to-publish-with-us#Fees%20and%20Funding,"2786-4855, 2786-4863",Has APC (See https://enj.org.ua/index.php/journal/about/submissions),Q1,Indexed,Not Available
Epilepsy Research,Wiley,https://www.elsevier.com/journals/epilepsy-research/0920-1211/open-access-options,2470-9239,Has APC (See https://onlinelibrary.wiley.com/journal/h/page/journal/24709239/homepage/article_publication_charges.htm),Q2,Indexed,Not Available
Acta Neurochirurgica,Springer,https://www.springer.com/journal/701/how-to-publish-with-us#Fees%20and%20Funding,"0001-6268, 0942-0940",Has APC (See https://link.springer.com/journal/701/how-to-publish-with-us),Q1,Indexed,Not Available
Journal of Geriatric Psychiatry and Neurology,Wolters Kluwer Medknow Publications,https://journals.sagepub.com/author-instructions/JGP,"2348-9995, 2395-3322",No APC (DOAJ),Q2,Indexed,Not Available
Acta Neurologica Belgica,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/journal/13760/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Journal of Critical Care,SpringerOpen,https://www.elsevier.com/journals/journal-of-critical-care/0883-9441/open-access-options,2110-5820,Has APC (See https://annalsofintensivecare.springeropen.com/about),Q1,Indexed,Not Available
Medicina Intensiva,Associação de Medicina Intensiva Brasileira,https://www.elsevier.com/journals/medicina-intensiva/0210-5691/open-access-options,"0103-507X, 1982-4335",No APC (DOAJ),Q2,Indexed,Not Available
Journal of Cutaneous Medicine and Surgery,Permanyer,https://journals.sagepub.com/author-instructions/CMS,"2795-501X, 2795-5001",No APC (DOAJ),Q1,Indexed,Not Available
Journal of Wound Care,Elsevier,https://www.magonlinelibrary.com/page/jowc/subscribe#,2213-3348,Has APC (See https://www.sciencedirect.com/journal/journal-of-vascular-surgery-venous-and-lymphatic-disorders/publish/open-access-options),Not Available,Not Available,Not Available
Journal of Emergency Nursing,Journal of Nursing Advances in Clinical Sciences,https://www.elsevier.com/journals/journal-of-emergency-nursing/0099-1767/open-access-options,3041-9336,No APC (DOAJ),Q2,Indexed,Not Available
Emergency Medicine Clinics of North America,Not Available,https://www.elsevier.com/journals/emergency-medicine-clinics-of-north-america/0733-8627/subscribe?subscriptiontype=institutional,Not Available,Unknown,Not Available,Not Available,Not Available
Endocrine Pathology,Zaslavsky O.Yu.,https://www.springer.com/journal/12022/how-to-publish-with-us#Fees%20and%20Funding,"2224-0721, 2307-1427",Has APC (See https://iej-journal.com/index.php/journal/article-processing),Q1,Indexed,Not Available
Endocrine,Bioscientifica,https://www.springer.com/journal/12020/how-to-publish-with-us#Fees%20and%20Funding,2634-4793,Free (MU Directory),Q2,Indexed,Not Available
Minerva Endocrinology,Edizioni Minerva Medica S.p.A.,https://www.minervamedica.it/en/journals/minerva-endocrinology/publishing_options.php,Not Available,Unknown,Q2,Indexed,Not Available
Metabolic Brain Disease,Springer,https://www.springer.com/journal/11011/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Pituitary,Korean Endocrine Society,https://www.springer.com/journal/11102/how-to-publish-with-us#Fees%20and%20Funding,"2093-596X, 2093-5978",No APC (DOAJ),Q2,Indexed,Not Available
Hormones and Behavior,Academic Press Inc.,https://www.elsevier.com/journals/hormones-and-behavior/0018-506x/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
General and Comparative Endocrinology,Academic Press Inc.,https://www.elsevier.com/journals/general-and-comparative-endocrinology/0016-6480/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Journal of Diabetes and its Complications,Elsevier Inc.,https://www.elsevier.com/journals/journal-of-diabetes-and-its-complications/1056-8727/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Annales d'Endocrinologie,"MASSON EDITEUR Annales d'EndocrinologieE-ISSN: Publisher: Elsevier Masson EMC - EndocrinologieE-ISSN: Publisher: Editions scientifique et medicales Elsevier SAS Medecine Therapeutique EndocrinologieE-ISSN: Publisher: John Libbey Eurotext Medecine Therapeutique Endocrinologie et ReproductionE-ISSN: Publisher: John Libbey Eurotext Revue Francaise d'Endocrinologie Clinique - Nutrition et MetabolismeE-ISSN: Publisher: Editions de Medecine Pratique Revue Roumaine de Medecine - Serie EndocrinologieE-ISSN: Publisher: Academie De La Republique Socialiste De Roumanie Revue roumaine d'endocrinologieE-ISSN: Publisher: Editions De L Academie De La Republique Socialiste De Roumaine ANNALES BOTANICI FENNICIE-ISSN: 1797-2442Publisher: FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD ANNALES DE BIOLOGIE CLINIQUEE-ISSN: 1950-6112Publisher: JOHN LIBBEY EUROTEXT LTD ANNALES DE CHIRURGIE PLASTIQUE ESTHETIQUEE-ISSN: 1768-319XPublisher: ELSEVIER ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIEE-ISSN: 2214-5451Publisher: MASSON EDITEUR ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCEE-ISSN: 2168-6351Publisher: TAYLOR & FRANCIS LTD ANNALES DE L INSTITUT FOURIERE-ISSN: 1777-5310Publisher: ANNALES INST FOURIER ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIREE-ISSN: 1873-1430Publisher: EUROPEAN MATHEMATICAL SOC-EMSNot getting the journal you are searching for? So it most likely not indexed in Scopus, WOS, PubMed, DOAJ, UGC CARE. You might also try: Enter the correct title.Check the spelling of the wordsMake sure you have added spaces between words",https://www.elsevier.com/journals/annales-dendocrinologie/0003-4266/open-access-options,Not Available,Unknown,Not Available,Likely Indexed,Not Available
Journal of Bone and Mineral Metabolism,Oxford University Press,https://www.springer.com/journal/774,2473-4039,Has APC (See https://academic.oup.com/jbmrplus/pages/general-instructions#Publishing%20Agreements%20and%20Charges),Q2,Indexed,Not Available
Gastroenterology Clinics of North America,W.B. Saunders,https://www.elsevier.com/journals/gastroenterology-clinics-of-north-america/0889-8553/subscribe?subscriptiontype=personal&dgcid=SD_ecom_referral_journals,Not Available,Unknown,Q1,Indexed,Not Available
Techniques in Coloproctology,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/journal/10151/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Digestion,Oxford University Press,https://www.karger.com/Journal/Guidelines/223838#sec62,2755-0230,No APC (DOAJ),Q1,Indexed,Not Available
Journal of Digestive Diseases,BMJ Publishing Group,https://onlinelibrary.wiley.com/page/journal/17512980/homepage/fundedaccess.html,"2766-0125, 2976-7296",No APC (DOAJ),Q2,Indexed,Not Available
Journal of Pediatric Gastroenterology and Nutrition,"Indonesian Society of Pediatric Gastroenterology, Hepatology, and Nutrition",https://edmgr.ovid.com/jpgn/accounts/ifauth.htm#6,"1829-5274, 2830-5442",No APC (DOAJ),Q1,Indexed,Not Available
Clinics and Research in Hepatology and Gastroenterology,Elsevier Masson s.r.l.,https://www.elsevier.com/journals/clinics-and-research-in-hepatology-and-gastroenterology/2210-7401/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Minerva Gastroenterology,Edizioni Minerva Medica S.p.A.,https://www.minervamedica.it/en/journals/gastroenterology/publishing_options.php,Not Available,Unknown,Q3,Indexed,Not Available
Aging Clinical and Experimental Research,American Journal of Experimental and Clinical Research,https://www.springer.com/journal/40520/how-to-publish-with-us#Fees%20and%20Funding,"2330-9237, 2330-9245",No APC (DOAJ),Q2,Indexed,Not Available
Archives of Gerontology and Geriatrics,Elsevier,https://www.elsevier.com/journals/archives-of-gerontology-and-geriatrics/0167-4943/open-access-options,2950-3078,Has APC (See https://www.sciencedirect.com/journal/archives-of-gerontology-and-geriatrics-plus/publish/open-access-options),Q1,Indexed,Not Available
Journal of Geriatric Oncology,Elsevier Ltd,https://www.elsevier.com/journals/journal-of-geriatric-oncology/1879-4068/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Seminars in Hematology,W.B. Saunders,https://www.elsevier.com/journals/seminars-in-hematology/0037-1963/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Leukemia Research,Springer Nature,https://www.elsevier.com/journals/leukemia-research/0145-2126/open-access-options,"2287-979X, 2288-0011",Has APC (See https://link.springer.com/journal/44313/how-to-publish-with-us#Fees%20and%20funding),Q2,Indexed,Not Available
Experimental Hematology,The Japanese Society for Lymphoreticular Tissue Research,https://www.elsevier.com/journals/experimental-hematology/0301-472X/open-access-options,1880-9952,Has APC (See https://www.jsltr.org/eng/POST-ACCEPTANCE%20AND%20TECHNICAL%20INFORMATION.html),Q1,Indexed,Not Available
Hematology/Oncology Clinics of North America,Not Available,https://www.sciencedirect.com/journal/hematology-oncology-clinics-of-north-america,Not Available,Unknown,Not Available,Not Available,Not Available
"Clinical Lymphoma, Myeloma & Leukemia",Not Available,https://www.elsevier.com/journals/clinical-lymphoma-myeloma-and-leukemia/2152-2650/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
Microbes And Infection,Universidad Nacional Hermilio Valdizán de Huánuco,https://www.elsevier.com/journals/microbes-and-infection/1286-4579/open-access-options,2789-4274,Has APC (See https://revistas.unheval.edu.pe/index.php/mic/chargesandpayments),Q2,Indexed,Not Available
Inflammopharmacology,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/journal/10787/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Current Topics in Microbiology and Immunology,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/series/82,Not Available,Unknown,Not Available,Indexed,Not Available
Inflammation,Oxford University Press,https://www.springer.com/journal/10753/how-to-publish-with-us#Fees%20and%20Funding,2754-2483,Has APC (See https://academic.oup.com/discovimmunology/pages/general-instructions#OpenAccess),Q2,Indexed,Not Available
Immunology Letters,Elsevier B.V.,https://www.elsevier.com/journals/immunology-letters/0165-2478/open-access-options,Not Available,Unknown,Q2,Indexed,Not Available
Immunotherapy,Zabansaraye Parsian Novin Mehr Institute,https://www.futuremedicine.com/journal/imt,2783-3127,No APC (DOAJ),Q2,Indexed,Not Available
Cytokine,Al Muthanna University,https://www.elsevier.com/journals/cytokine/1043-4666/open-access-options,"2226-146X, 2410-4590",No APC (DOAJ),Q1,Indexed,Not Available
Microbial Pathogenesis,Frontiers Media S.A.,https://www.elsevier.com/journals/microbial-pathogenesis/0882-4010/open-access-options,2235-2988,Has APC (See https://www.frontiersin.org/journals/cellular-and-infection-microbiology/for-authors/publishing-fees),Q2,Indexed,Not Available
Archivum Immunologiae et Therapiae Experimentalis,"ISSN: 16614917, 0004069X Journal Scope: Immunology and Microbiology; Medicine",https://www.springer.com/journal/5/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q1,Indexed,Not Available
Immunogenetics,Elsevier,https://www.springer.com/journal/251/how-to-publish-with-us#Fees%20and%20Funding,"0171-2985, 1878-3279",Has APC (See https://www.sciencedirect.com/journal/immunobiology/publish/open-access-options),Q2,Indexed,Not Available
Journal of Neuroimmunology,Wiley,https://www.elsevier.com/journals/journal-of-neuroimmunology/0165-5728/open-access-options,2831-3267,Has APC (See https://onlinelibrary.wiley.com/page/journal/28313267/homepage/article-publication-charges.html),Q2,Indexed,Not Available
Immunobiology,Elsevier,https://www.elsevier.com/journals/immunobiology/0171-2985/open-access-options,"0171-2985, 1878-3279",Has APC (See https://www.sciencedirect.com/journal/immunobiology/publish/open-access-options),Q2,Indexed,19 weeks
Human Immunology,Taylor & Francis Group,https://www.elsevier.com/journals/human-immunology/0198-8859/open-access-options,"2164-5515, 2164-554X",Has APC (See https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=khvi20),Q2,Indexed,Not Available
American Journal of Infection Control,Elsevier Inc.,https://www.elsevier.com/journals/ajic-american-journal-of-infection-control/0196-6553/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Sexually Transmitted Infections,State Scientific Center of Dermatovenereology and Cosmetology,https://sti.bmj.com/pages/authors/#article_publishing_charges,"0042-4609, 2313-6294",Has APC (See https://vestnikdv.ru/jour/about/submissions#authorFees),Q1,Indexed,Not Available
Current Opinion in HIV and AIDS,Lippincott Williams and Wilkins Ltd.,https://edmgr.ovid.com/coha/accounts/ifauth.pdf,Not Available,Unknown,Q1,Indexed,Not Available
Pathogens and Disease,Oxford University Press,https://academic.oup.com/femspd/subscribe,Not Available,Unknown,Q2,Indexed,Not Available
Sexually Transmitted Diseases,Editorial Office of the Chinese Journal of Dermatovenereology,https://journals.lww.com/stdjournal/Pages/informationforauthors.aspx,1001-7089,Has APC (See http://pfxbxzz.paperopen.com/en/#/FixedBody?ItemId=31),Q1,Indexed,Not Available
Medical Mycology,Shahid Sadoughi University of Medical Sciences,https://academic.oup.com/mmy/subscribe,"2345-685X, 2345-6825",No APC (DOAJ),Q1,Indexed,Not Available
Infection and Immunity,Mosstafa Kazemi,https://journals.asm.org/open-access?journal=iai,2981-2003,No APC (DOAJ),Q1,Indexed,Not Available
Diagnostic Microbiology and Infectious Disease,American Society for Microbiology,https://www.elsevier.com/journals/diagnostic-microbiology-and-infectious-disease/0732-8893/open-access-options,"0095-1137, 1098-660X",No APC (DOAJ),Q2,Indexed,Not Available
Zoonoses and Public Health,Compuscript Ltd,https://onlinelibrary.wiley.com/page/journal/18632378/homepage/FundedAccess.html,"2737-7466, 2737-7474",No APC (DOAJ),Q1,Indexed,Not Available
Journal of Medical Economics,Dove Medical Press,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ijme20#APC,1179-1489,Has APC (See https://www.dovepress.com/journal_pricing_bands.php?journal_id=71),Q1,Indexed,Not Available
Turkish Journal of Medical Sciences,Dean of Medical Faculty,https://journals.tubitak.gov.tr/medical/openaccess.html,"1303-6610, 2547-9598",No APC (DOAJ),Q3,Indexed,Not Available
Journal of Hospital Medicine,Permanyer,https://shmpublications.onlinelibrary.wiley.com/hub/journal/15535606/open-access,"1665-5796, 2530-0709",No APC (DOAJ),Q1,Indexed,Not Available
Journal of the National Medical Association,Ministry of Health of the Russian Federation. National Medical Research Center of Rehabilitation and Balneology,https://www.elsevier.com/journals/journal-of-the-national-medical-association/0027-9684/open-access-options,"2078-1962, 2713-2625",No APC (DOAJ),Q2,Indexed,Not Available
Scottish Medical Journal,SAGE Publications Inc.,https://journals.sagepub.com/author-instructions/SCM,Not Available,Unknown,Q3,Indexed,Not Available
Croatian Medical Journal,Sciendo,http://www.cmj.hr/,1848-6312,Free (MU Directory),Q3,Indexed,10 weeks
Family Practice,Wolters Kluwer Medknow Publications,https://academic.oup.com/fampra/pages/General_Instructions,"2772-3143, 2772-3151",Has APC (See https://journals.lww.com/JSSR/pages/informationforauthors.aspx),Q1,Indexed,Not Available
Wiener klinische Wochenschrift,Springer,https://www.springer.com/journal/508/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Family Medicine,"Universitas Pembangunan Nasional ""Veteran"" Jakarta, Faculty of Health, Nursing Department",https://journals.stfm.org/media/5166/2022-fm-authors-instructions.pdf,"2407-4284, 2715-6303",Has APC (See https://ejournal.upnvj.ac.id/Gantari/author-fee),Q2,Indexed,Not Available
Irish Journal of Medical Science,Springer Science and Business Media Deutschland GmbH,https://www.springer.com/journal/11845/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Q2,Indexed,Not Available
Australian Journal of General Practice,Not Available,https://www1.racgp.org.au/ajgp/reviewers/author-guidelines,Not Available,Unknown,Not Available,Not Available,Not Available
Danish Medical Journal,The Norwegian Medical Society (Det Norske Medicinske Selskab),https://ugeskriftet.dk/dmj/dmj-submit-instruction-authors,"1893-9651, 2703-8874",Has APC (See https://www.michaeljournal.no/page/veiledning),Not Available,Not Available,Not Available
Annals of Saudi Medicine,Wolters Kluwer Medknow Publications,https://www.annsaudimed.net/info_authors/fees,"0974-7796, 0974-7834",Has APC (See https://journals.lww.com/urol/Pages/instructionsforauthors.aspx),Q3,Indexed,8 weeks
Obstetrics and Gynecology Clinics of North America,Not Available,https://www.journals.elsevier.com/obstetrics-and-gynecology-clinics-of-north-america,Not Available,Unknown,Not Available,Not Available,Not Available
Early Human Development,Not Available,https://www.elsevier.com/journals/early-human-development/0378-3782/open-access-options,Not Available,Unknown,Not Available,Not Available,Not Available
Clinics in Perinatology,Not Available,https://www.journals.elsevier.com/clinics-in-perinatology,Not Available,Unknown,Not Available,Not Available,Not Available
Archives of Gynecology and Obstetrics,Springer,https://www.springer.com/journal/404/how-to-publish-with-us#Fees%20and%20Funding,1432-0711,Has APC (See https://link.springer.com/journal/404/how-to-publish-with-us#Fees%20and%20funding),Q1,Indexed,Not Available
Obstetrical & Gynecological Survey,Not Available,https://shop.lww.com/Obstetrical---Gynecological-Survey/p/0029-7828,Not Available,Unknown,Not Available,Not Available,Not Available
Current Hematologic Malignancy Reports,Not Available,https://www.springer.com/journal/11899/how-to-publish-with-us#Fees%20and%20Funding,Not Available,Unknown,Not Available,Not Available,Not Available
Experimental Cell Research,The Japanese Society for Lymphoreticular Tissue Research,https://www.elsevier.com/journals/experimental-cell-research/0014-4827/open-access-options,1880-9952,Has APC (See https://www.jsltr.org/eng/POST-ACCEPTANCE%20AND%20TECHNICAL%20INFORMATION.html),Not Available,Not Available,Not Available
Oncology Reports,Elsevier,https://www.spandidos-publications.com/pages/info_for_authors,2352-5789,Has APC (See https://www.sciencedirect.com/journal/gynecologic-oncology-reports/publish/open-access-options),Not Available,Not Available,Not Available
Clinical Colorectal Cancer,Elsevier Inc.,https://www.elsevier.com/journals/clinical-colorectal-cancer/1533-0028/open-access-options,Not Available,Unknown,Q1,Indexed,Not Available
Current Opinion in Oncology,Not Available,https://journals.lww.com/co-oncology/_layouts/15/1033/oaks.journals/subscriptionservices.aspx,Not Available,Unknown,Not Available,Not Available,Not Available
International Journal of Clinical Oncology,Termedia Publishing House,https://www.springer.com/journal/10147/how-to-publish-with-us#Fees%20and%20Funding,"1233-9687, 2084-9869",Has APC (See http://www.termedia.pl/Journal/Polish_Journal_of_Pathology-55/For-authors),Q1,Indexed,Not Available
Recent Patents on Anti-Cancer Drug Discovery,Bentham Science Publishers,https://drberbecarzeca.roalerts.benthamscience.com/journal/46,Not Available,Unknown,Q2,Indexed,Not Available
