Journal Name,Publisher,APC,Review Time,Quartile,Scopus Status,Source URL
Psychotherapie-Wissenschaft,Psychosozial-Verlag GmbH & Co. KG,No APC (DOAJ),15 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Psychotherapie-Wissenschaft
Irish Journal of Occupational Therapy,Emerald Publishing,Free (MU Directory),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Irish%20Journal%20of%20Occupational%20Therapy
European Medical Journal Allergy & Immunology,European Medical Journal,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Allergy%20%26%20Immunology
Journal of Wellness,University of Louisville Libraries,Free (MU Directory),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Wellness
Aporia,University of Ottawa,No APC (DOAJ),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Aporia
Precision Clinical Medicine,Oxford University Press,2000 USD (DOAJ),5 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Precision%20Clinical%20Medicine
Journal of Smooth Muscle Research,Japan Society of Smooth Muscle Research,Not Available,Not Available,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Smooth%20Muscle%20Research
NeuroRegulation,International Society for Neurofeedback and Research (ISNR),No APC (DOAJ),19 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=NeuroRegulation
Eurosurveillance,European Centre for Disease Prevention and Control,No APC (DOAJ),30 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Eurosurveillance
Free Neuropathology,University of Münster / Open Journals System,No APC (DOAJ),8 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Free%20Neuropathology
Rural and Remote Health,James Cook University,No APC (DOAJ),8 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Rural%20and%20Remote%20Health
Cardiology Plus,Wolters Kluwer Health/LWW,Free (MU Directory),20 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Cardiology%20Plus
African Journal of Thoracic and Critical Care Medicine,Health and Medical Publishing Group,15000 ZAR (DOAJ),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=African%20Journal%20of%20Thoracic%20and%20Critical%20Care%20Medicine
Health Data Science,American Association for the Advancement of Science (AAAS),Free (MU Directory),26 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Health%20Data%20Science
The Egyptian Journal of Otolaryngology,SpringerOpen,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=The%20Egyptian%20Journal%20of%C2%A0Otolaryngology
Journal of Radiology Case Reports,EduRad Publishing,950 USD (DOAJ),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Radiology%20Case%20Reports
"GMS German Plastic, Reconstructive and Aesthetic Surgery – Burn and Hand Surgery",German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=GMS%20German%20Plastic%2C%20Reconstructive%20and%20Aesthetic%20Surgery%20%E2%80%93%20Burn%20and%20Hand%20Surgery
Urogynaecologia International Journal,PAGEPress Publications,No APC (DOAJ),10 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Urogynaecologia%20International%20Journal
Tidsskrift for Den norske legeforening,Den norske legeforening,No APC (DOAJ),28 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Tidsskrift%20for%20Den%20norske%20legeforening
Journal of Clinical & Developmental Psychology,CeRIP,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Clinical%20%26%20Developmental%20Psychology
Journal of Renal and Hepatic Disorders,Codon Publications,No APC (DOAJ),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Renal%20and%20Hepatic%20Disorders
GMS German Medical Science,German Medical Science GMS Publishing House,No APC (DOAJ),11 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=GMS%20German%20Medical%20Science
Efficacy and Mechanism Evaluation,NIHR Journals Library,Free (MU Directory),53 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Efficacy%20and%20Mechanism%20Evaluation
Therapeutic Advances in Vaccines and Immunotherapy,SAGE Publishing,Free (MU Directory),8 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Therapeutic%20Advances%20in%20Vaccines%20and%20Immunotherapy
Angle Orthodontist,E.H Angle Education and Research Foundation,No APC (DOAJ),Not Available,Q1,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Angle%20Orthodontist
International Journal of Cancer Therapy and Oncology,IJCTO,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Cancer%20Therapy%20and%20Oncology
International Journal of Telerehabilitation,"University Library System, University of Pittsburgh",Free (MU Directory),10 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Telerehabilitation
Neuroanatomy and Behaviour,Episteme Health Inc.,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Neuroanatomy%20and%20Behaviour
European Medical Journal Hematology,European Medical Journal,Free (MU Directory),19 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Hematology
Journal of the Medical Library Association,"University Library System, University of Pittsburgh",Free (MU Directory),26 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Medical%20Library%20Association
Nursing & Health Sciences Research Journal,Library & Knowledge Services and Nursing & Health Sciences Research Departments,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Nursing%20%26%20Health%20Sciences%20Research%20Journal
Geriatric Care,PAGEPress Publications,No APC (DOAJ),10 weeks,Not Available,Indexed,https://journalsearches.com/journal.php?title=Geriatric%20Care
Military Medical Research,BMC,No APC (DOAJ),8 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Military%20Medical%20Research
Reviews in Health Care,SEEd,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Reviews%20in%20Health%20Care
Southwest Respiratory and Critical Care Chronicles,Southwest Respiratory and Critical Care Chronicles,Free (MU Directory),7 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Southwest%20Respiratory%20and%20Critical%20Care%20Chronicles
South African Journal of Sports Medicine,South African Sports Medicine Association,7000 ZAR (DOAJ),12 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=South%20African%20Journal%20of%20Sports%20Medicine
International Health Trends and Perspectives,Ryerson University,No APC (DOAJ),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Health%20Trends%20and%20Perspectives
Journal of Biomedical Science,BMC,Free (MU Directory),14 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Biomedical%20Science
African Journal of Nephrology,African Association of Nephrology,Free (MU Directory),39 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=African%20Journal%20of%20Nephrology
Psychiatria Fennica,The Finnish Foundation for Psychiatric Research,No APC (DOAJ),14 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Psychiatria%20Fennica
EMJ Radiology,European Medical Journal,Free (MU Directory),37 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=EMJ%20Radiology
Molecular Biology & Nanomedicine,Techland Publishing Group Limited,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Molecular%20Biology%20%26%20Nanomedicine
British and Irish Orthoptic Journal,White Rose University Press,Free (MU Directory),18 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=British%20and%20Irish%20Orthoptic%20Journal
Pleura and Peritoneum,De Gruyter,2000 EUR (DOAJ),9 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Pleura%20and%20Peritoneum
Journal of Patient Experience,SAGE Publishing,Free (MU Directory),15 weeks,Q2,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Journal%20of%20Patient%20Experience
Egyptian Rheumatology and Rehabilitation,SpringerOpen,Free (MU Directory),9 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Egyptian%20Rheumatology%20and%20Rehabilitation
Hong Kong Journal of Occupational Therapy,SAGE Publishing,Free (MU Directory),30 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Hong%20Kong%20Journal%20of%20Occupational%20Therapy
Programme Grants for Applied Research,NIHR Journals Library,Free (MU Directory),53 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Programme%20Grants%20for%20Applied%20Research
Social Medicine,Social Medicine Publication Group,No APC (DOAJ),15 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Social%20Medicine
European Medical Journal Allergy & Immunology,European Medical Journal,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Allergy%20%26%20Immunology
Irish Journal of Occupational Therapy,Emerald Publishing,Free (MU Directory),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Irish%20Journal%20of%20Occupational%20Therapy
Health Reform Observer - Observatoire des Réformes de Santé,McMaster University Library Press,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Health%20Reform%20Observer%20-%20Observatoire%20des%20R%C3%A9formes%20de%20Sant%C3%A9
Aporia,University of Ottawa,No APC (DOAJ),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Aporia
Journal of Wellness,University of Louisville Libraries,Free (MU Directory),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Wellness
Precision Clinical Medicine,Oxford University Press,2000 USD (DOAJ),5 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Precision%20Clinical%20Medicine
Journal of Smooth Muscle Research,Japan Society of Smooth Muscle Research,Not Available,Not Available,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Smooth%20Muscle%20Research
NeuroRegulation,International Society for Neurofeedback and Research (ISNR),No APC (DOAJ),19 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=NeuroRegulation
Société Internationale d’Urologie Journal,The Société Internationale d’Urologie (SIU),No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Soci%C3%A9t%C3%A9%20Internationale%20d%E2%80%99Urologie%20Journal
Eurosurveillance,European Centre for Disease Prevention and Control,No APC (DOAJ),30 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Eurosurveillance
Rural and Remote Health,James Cook University,No APC (DOAJ),8 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Rural%20and%20Remote%20Health
Free Neuropathology,University of Münster / Open Journals System,No APC (DOAJ),8 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Free%20Neuropathology
Cardiology Plus,Wolters Kluwer Health/LWW,Free (MU Directory),20 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Cardiology%20Plus
Health Data Science,American Association for the Advancement of Science (AAAS),Free (MU Directory),26 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Health%20Data%20Science
African Journal of Thoracic and Critical Care Medicine,Health and Medical Publishing Group,15000 ZAR (DOAJ),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=African%20Journal%20of%20Thoracic%20and%20Critical%20Care%20Medicine
The Egyptian Journal of Otolaryngology,SpringerOpen,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=The%20Egyptian%20Journal%20of%C2%A0Otolaryngology
"GMS German Plastic, Reconstructive and Aesthetic Surgery – Burn and Hand Surgery",German Medical Science GMS Publishing House,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=GMS%20German%20Plastic%2C%20Reconstructive%20and%20Aesthetic%20Surgery%20%E2%80%93%20Burn%20and%20Hand%20Surgery
Journal of Radiology Case Reports,EduRad Publishing,950 USD (DOAJ),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Radiology%20Case%20Reports
Urogynaecologia International Journal,PAGEPress Publications,No APC (DOAJ),10 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Urogynaecologia%20International%20Journal
Tidsskrift for Den norske legeforening,Den norske legeforening,No APC (DOAJ),28 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Tidsskrift%20for%20Den%20norske%20legeforening
Journal of Clinical & Developmental Psychology,CeRIP,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Clinical%20%26%20Developmental%20Psychology
Journal of Renal and Hepatic Disorders,Codon Publications,No APC (DOAJ),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Renal%20and%20Hepatic%20Disorders
GMS German Medical Science,German Medical Science GMS Publishing House,No APC (DOAJ),11 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=GMS%20German%20Medical%20Science
Efficacy and Mechanism Evaluation,NIHR Journals Library,Free (MU Directory),53 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Efficacy%20and%20Mechanism%20Evaluation
Therapeutic Advances in Vaccines and Immunotherapy,SAGE Publishing,Free (MU Directory),8 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Therapeutic%20Advances%20in%20Vaccines%20and%20Immunotherapy
International Journal of Telerehabilitation,"University Library System, University of Pittsburgh",Free (MU Directory),10 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Telerehabilitation
Angle Orthodontist,E.H Angle Education and Research Foundation,No APC (DOAJ),Not Available,Q1,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Angle%20Orthodontist
International Journal of Cancer Therapy and Oncology,IJCTO,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Cancer%20Therapy%20and%20Oncology
Neuroanatomy and Behaviour,Episteme Health Inc.,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Neuroanatomy%20and%20Behaviour
European Medical Journal Hematology,European Medical Journal,Free (MU Directory),19 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Hematology
Geriatric Care,PAGEPress Publications,No APC (DOAJ),10 weeks,Not Available,Indexed,https://journalsearches.com/journal.php?title=Geriatric%20Care
Journal of the Medical Library Association,"University Library System, University of Pittsburgh",Free (MU Directory),26 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Medical%20Library%20Association
Nursing & Health Sciences Research Journal,Library & Knowledge Services and Nursing & Health Sciences Research Departments,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Nursing%20%26%20Health%20Sciences%20Research%20Journal
Military Medical Research,BMC,No APC (DOAJ),8 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Military%20Medical%20Research
Southwest Respiratory and Critical Care Chronicles,Southwest Respiratory and Critical Care Chronicles,Free (MU Directory),7 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Southwest%20Respiratory%20and%20Critical%20Care%20Chronicles
Reviews in Health Care,SEEd,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Reviews%20in%20Health%20Care
International Health Trends and Perspectives,Ryerson University,No APC (DOAJ),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Health%20Trends%20and%20Perspectives
South African Journal of Sports Medicine,South African Sports Medicine Association,7000 ZAR (DOAJ),12 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=South%20African%20Journal%20of%20Sports%20Medicine
Journal of Biomedical Science,BMC,Free (MU Directory),14 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Biomedical%20Science
Psychiatria Fennica,The Finnish Foundation for Psychiatric Research,No APC (DOAJ),14 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Psychiatria%20Fennica
Molecular Biology & Nanomedicine,Techland Publishing Group Limited,No APC (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Molecular%20Biology%20%26%20Nanomedicine
African Journal of Nephrology,African Association of Nephrology,Free (MU Directory),39 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=African%20Journal%20of%20Nephrology
EMJ Radiology,European Medical Journal,Free (MU Directory),37 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=EMJ%20Radiology
British and Irish Orthoptic Journal,White Rose University Press,Free (MU Directory),18 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=British%20and%20Irish%20Orthoptic%20Journal
Neurological Research and Practice,BMC,Free (MU Directory),14 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Neurological%20Research%20and%20Practice
Pleura and Peritoneum,De Gruyter,2000 EUR (DOAJ),9 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Pleura%20and%20Peritoneum
European Medical Journal Innovations,European Medical Journal,Free (MU Directory),31 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Innovations
Social Medicine,Social Medicine Publication Group,No APC (DOAJ),15 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Social%20Medicine
Dentistry 3000,"University Library System, University of Pittsburgh",Free (MU Directory),19 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Dentistry%203000
European Medical Journal,European Medical Journal,Free (MU Directory),33 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal
International Journal of Medical Students,International Journal of Medical Students,Free (MU Directory),10 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Medical%20Students
Hong Kong Medical Journal,Hong Kong Academy of Medicine,No APC (DOAJ),10 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Hong%20Kong%20Medical%20Journal
Community Eye Health Journal,"International Centre for Eye Health (ICEH), London",Free (MU Directory),14 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Community%20Eye%20Health%20Journal
Health Reform Observer - Observatoire des Réformes de Santé,McMaster University Library Press,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Health%20Reform%20Observer%20-%20Observatoire%20des%20R%C3%A9formes%20de%20Sant%C3%A9
Laboratory Animal Research,BMC,Free (MU Directory),8 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Laboratory%20Animal%20Research
Emerging Infectious Diseases,Centers for Disease Control and Prevention,Free (MU Directory),8 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Emerging%20Infectious%20Diseases
Medicine Anthropology Theory,University of Edinburgh Library,Free (MU Directory),38 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Medicine%20Anthropology%20Theory
Precision Radiation Oncology,Wiley,Free (MU Directory),13 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Precision%20Radiation%20Oncology
Clinical Phytoscience,SpringerOpen,No APC (DOAJ),13 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Clinical%20Phytoscience
Société Internationale d’Urologie Journal,The Société Internationale d’Urologie (SIU),No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Soci%C3%A9t%C3%A9%20Internationale%20d%E2%80%99Urologie%20Journal
Cardiology Discovery,Wolters Kluwer Health/LWW,No APC (DOAJ),20 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Cardiology%20Discovery
Indian Heart Journal,Elsevier,No APC (DOAJ),53 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Indian%20Heart%20Journal
"The Egyptian Journal of Neurology, Psychiatry and Neurosurgery",SpringerOpen,Free (MU Directory),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=The%20Egyptian%20Journal%20of%20Neurology%2C%20Psychiatry%20and%20Neurosurgery
Health Behavior Research,New Prairie Press,Free (MU Directory),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Health%20Behavior%20Research
ACG Case Reports Journal,Wolters Kluwer Health,500 USD (DOAJ),12 weeks,Not Available,Indexed,https://journalsearches.com/journal.php?title=ACG%20Case%20Reports%20Journal
Cardiovascular Medicine,EMH Swiss Medical Publishers Ltd.,No APC (DOAJ),Not Available,Q4,Indexed,https://journalsearches.com/journal.php?title=Cardiovascular%20Medicine
BIO Integration,Compuscript Ltd,No APC (DOAJ),17 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=BIO%20Integration
Japanese Dental Science Review,Elsevier,No APC (DOAJ),30 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Japanese%20Dental%20Science%20Review
Asian Journal of Urology,Elsevier,No APC (DOAJ),16 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Asian%20Journal%20of%20Urology
Chinese Medicine and Culture,Wolters Kluwer Health/LWW,Free (MU Directory),20 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Chinese%20Medicine%20and%20Culture
Revista Brasileira de Hematologia e Hemoterapia,Elsevier,No APC (DOAJ),21 weeks,Not Available,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Revista%20Brasileira%20de%20Hematologia%20e%20Hemoterapia
Global Biosecurity,University of New South Wales,No APC (DOAJ),16 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Global%20Biosecurity
Acta Pharmaceutica Sinica B,Elsevier,2600 USD (DOAJ),19 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Acta%20Pharmaceutica%20Sinica%20B
Inspira,Cappelen Damm Akademisk NOASP,No APC (DOAJ),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Inspira
Skin,National Society for Cutaneous Medicine,2200 USD (DOAJ),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Skin
Rwanda Medical Journal,Rwanda Biomedical Centre (RBC)/Rwanda Health Communication Center,No APC (DOAJ),7 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Rwanda%20Medical%20Journal
Plasmatology,SAGE Publishing,Free (MU Directory),25 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Plasmatology
Perspectives on Medical Education,Springer / Bohn Stafleu van Loghum,1068 GBP (DOAJ),28 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Perspectives%20on%20Medical%20Education
Deutsches Ärzteblatt,Deutscher Ärzte-Verlag,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Deutsches%20%C3%84rzteblatt
Animal Models and Experimental Medicine,Wiley,Free (MU Directory),12 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Animal%20Models%20and%20Experimental%20Medicine
Journal of Appalachian Health,University of Kentucky,No APC (DOAJ),9 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Appalachian%20Health
International Journal of Strength and Conditioning,International Universities Strength and Conditioning Association,No APC (DOAJ),16 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Strength%20and%20Conditioning
Australian Prescriber,NPS MedicineWise,No APC (DOAJ),36 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Australian%20Prescriber
International Journal of Arrhythmia,BMC,Not Available,31 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Arrhythmia
Gut Microbiome,Cambridge University Press,No APC (DOAJ),5 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Gut%20Microbiome
Online Journal of Rural Nursing and Health Care,Rural Nurse Organization; Binghamton University,No APC (DOAJ),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Online%20Journal%20of%20Rural%20Nursing%20and%20Health%20Care
Biomedical Journal,Elsevier,No APC (DOAJ),40 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Biomedical%20Journal
Middle East Fertility Society Journal,SpringerOpen,Free (MU Directory),45 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Middle%20East%20Fertility%20Society%20Journal
Global Health: Science and Practice Journal,Johns Hopkins University,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Global%20Health%3A%20Science%20and%20Practice%20Journal
GMS Ophthalmology Cases,German Medical Science GMS Publishing House,No APC (DOAJ),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=GMS%20Ophthalmology%20Cases
Giornale Italiano di Endodonzia,Ariesdue,No APC (DOAJ),24 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Giornale%20Italiano%20di%20Endodonzia
Qualitative Research in Medicine & Healthcare,PAGEPress Publications,900 USD (DOAJ),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Qualitative%20Research%20in%20Medicine%20%26%20Healthcare
Swiss Archives of Neurology and Psychiatry,EMH Swiss Medical Publishers Ltd.,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Swiss%20Archives%20of%20Neurology%20and%20Psychiatry
AIMS Medical Science,American Institute of Mathematical Sciences,Free (MU Directory),12 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=AIMS%20Medical%20Science
European Medical Journal Diabetes,European Medical Journal,Free (MU Directory),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=European%20Medical%20Journal%20Diabetes
Therapeutic Advances in Rare Disease,SAGE Publishing,No APC (DOAJ),15 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Therapeutic%20Advances%20in%20Rare%20Disease
International Journal of Particle Therapy,Particle Therapy Co-operative Group,1700 USD (DOAJ),20 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Particle%20Therapy
Health and Social Care Delivery Research,NIHR Journals Library,Free (MU Directory),75 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Health%20and%20Social%20Care%20Delivery%20Research
The Egyptian Journal of Internal Medicine,SpringerOpen,Free (MU Directory),9 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Egyptian%20Journal%20of%20Internal%20Medicine
Annals of Urologic Oncology,Asian Medical Press Ltd.(H.K.),No APC (DOAJ),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Annals%20of%20Urologic%20Oncology
People Living with And Inspired by Diabetes,Florida State University College of Medicine,Not Available,Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=People%20Living%20with%20And%20Inspired%20by%20Diabetes
Leprosy Review,LEPRA (The British Leprosy Relief Association),No APC (DOAJ),8 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Leprosy%20Review
Voices in Bioethics,Columbia University Libraries,Free (MU Directory),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Voices%20in%20Bioethics
International Journal of Medical Device and Adjuvant Treatments,Verduci Editore,No APC (DOAJ),5 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Medical%20Device%20and%20Adjuvant%20Treatments
Radiography Open,OsloMet — Oslo Metropolitan University,No APC (DOAJ),6 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Radiography%20Open
Maternal-Fetal Medicine,Wolters Kluwer Health,Free (MU Directory),10 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Maternal-Fetal%20Medicine
Journal of Sports Medicine and Allied Health Sciences: Official Journal of the Ohio Athletic Trainers' Association,Bowling Green State University,Free (MU Directory),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Journal%20of%20Sports%20Medicine%20and%20Allied%20Health%20Sciences%3A%20Official%20Journal%20of%20the%20Ohio%20Athletic%20Trainers%27%20Association
Aging Medicine,Wiley,Free (MU Directory),12 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Aging%20Medicine
